id,name,price,image_src,category_id,link,code
1,"1 1/4"" Trailmaker etupuskurin vetolaite","184,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-540/f474adfee03dce801552d33e97d431f6__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/1-14-trailmaker-etupuskurin-vetolaite,860201825
2,1+1 ISTUIMEN SÄHKÖISEN VISIIRIN/LÄMMITETTÄVIEN KENKIEN JOHTOSARJA,"69,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-416/498671116ba5ea9f583f503869a3f167__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/1-and-1-istuimen-sahkoisen-visiirinlammitettavien-kenkien-johtosarja,860201981
3,12 voltin pistorasia REV Gen4,"39,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-419/c825726caf9902bc06401e20d0ab7673__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/12-voltin-pistorasia-rev-gen4,860201423
4,16 tuuman Adventure-takapuskuri,"304,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-542/9791245780503f4ae06397e1888fe2cb__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/16-tuuman-adventure-takapuskuri,860202340
5,2 hengen Light-istuin | 860202568,"349,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-99/4b567f3a077e4308be94fc7c75884ecf__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/2-hengen-light-istuin-860202568,860202568
6,Adventure Etupuskuri,"444,31 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-548/af483b6fb91cc8263492f278752dd2c2__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/adventure-etupuskuri,860202135
7,Adventure Takapuskuri Musta |  860201685,"289,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-579/340a7e0125a892d96b1b3dc85cef447c__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/adventure-takapuskuri-musta-860201685,860201685
8,Adventure Takapuskuri Musta | 860201683,"289,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-578/b17ab896a15ab3befe06e9f4c451c034__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/adventure-takapuskuri-musta-860201683,860201683
9,Adventure Takapuskuri Race Orange/Musta | 860201684,"259,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-580/aaa0cd0ac77d99487ccf5fc773316452__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/adventure-takapuskuri-race-orangemusta-860201684,860201684
10,"Adventure-takapuskuri 16"" REV Gen4 146"" ja 154"" lyhyellä tunnelilla Octane Blue/Musta","294,90 €",https://www.loukko.com/assets/ProductCatalog/1/SilverShop_Page_Product-563/30a507662f35183f878460f1dd3d146c__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,10,https://www.loukko.com/moottorikelkkailu/adventure-takapuskuri-16-rev-gen4-146-ja-154-lyhyella-tunnelilla-octane-bluemusta,860202156
