id,name,price,image_src,category_id,link,code
51441,Husqvarna Automower® 305 robottiruohonleikkuri,"1099,00 €",https://www.loukko.com/assets/ProductCatalog/50/SilverShop_Page_Product-49946/303d06751773fac1990a1f2c5f946037__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-305,9679740-21
51442,Husqvarna Automower® 310 Mark II robottiruohonleikkuri,"1449,00 €",https://www.loukko.com/assets/ProductCatalog/50/SilverShop_Page_Product-49947/aebf586b8c8557eb850afb1b124462e9__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-310-mark-ii,9705267-21
51443,Husqvarna Automower® 310E NERA robottiruohonleikkuri,"1980,00 €",https://www.loukko.com/assets/ProductCatalog/285/SilverShop_Page_Product-284066/2__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-310e-nera,9706541-21
51444,Husqvarna Automower® 315 Mark II robottiruohonleikkuri,"1549,00 €",https://www.loukko.com/assets/ProductCatalog/50/SilverShop_Page_Product-49947/aebf586b8c8557eb850afb1b124462e9__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-315-mark-ii,9705268-21
51445,Husqvarna Automower® 320 NERA robottiruohonleikkuri,"2890,00 €",https://www.loukko.com/assets/ProductCatalog/282/SilverShop_Page_Product-281620/rq-630602__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-320-nera,9705351-21
51446,Husqvarna Automower® 405X robottiruohonleikkuri,"1749,00 €",https://www.loukko.com/assets/ProductCatalog/50/SilverShop_Page_Product-49949/49f5d486bf8bd0334c81090abc879f1a__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-405x,9704562-21
51447,Husqvarna Automower® 410XE NERA robottiruohonleikkuri,"2490,00 €",https://www.loukko.com/assets/ProductCatalog/285/SilverShop_Page_Product-284067/2__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-410xe-nera,9706544-21
51448,Husqvarna Automower® 415X robottiruohonleikkuri,"2199,00 €",https://www.loukko.com/assets/ProductCatalog/50/SilverShop_Page_Product-49949/49f5d486bf8bd0334c81090abc879f1a__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-415x,9704717-21
51449,Husqvarna Automower® 430X NERA robottiruohonleikkuri,"3790,00 €",https://www.loukko.com/assets/ProductCatalog/63/SilverShop_Page_Product-62578/314843a0204e195050bb7449f01dd8c0__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-430x-nera-robottiruohonleikkuri,9705352-21
51450,Husqvarna Automower® 435X AWD robottileikkuri,"4499,00 €",https://www.loukko.com/assets/ProductCatalog/50/SilverShop_Page_Product-49953/e452b204c5c1b3bb61c87e8ad3474c67__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,13279,https://www.loukko.com/metsa-ja-puutarha/husqvarna-automower-435x-awd-robottileikkuri,9678533-21
