id,name,price,image_src,category_id,link,code
137694,PYÖRÄN KULJETUSTELINE THULE EASYFORD XT,"808,67 €",https://www.loukko.com/assets/ProductCatalog/148/SilverShop_Page_Product-147706/9ba4ce87b2767bac7829a9350977d6fd__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,20886,https://www.loukko.com/sahkopyorat/pyoran-kuljetusteline-thule-easyford-xt,933100
137695,Yamaha BOOSTER Easy sähköpyörä,"3450,24 €",https://www.loukko.com/assets/ProductCatalog/148/SilverShop_Page_Product-147707/dbfd473235a59a8d49294fdf04e206c8__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-booster-easy-sahkopyora,Yamaha BOOSTER Easy
137696,Yamaha BOOSTER Easy Tech Graphite sähköpyörä,"2589,00 €",https://www.loukko.com/assets/ProductCatalog/290/SilverShop_Page_Product-289748/769ddb2d5a83a33cc2d72ba254474309_WatermarkWzAsMCwxMjAwLDY3NSwiQ2VudGVyIiwyNjY5NDFd__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-booster-easy-sahkopyora-2,Yamaha BOOSTER Easy
137697,Yamaha BOOSTER sähköpyörä,"3868,23 €",https://www.loukko.com/assets/ProductCatalog/148/SilverShop_Page_Product-147708/b8da556151e8b18b37745c52ee6ce8b9__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-booster-sahkopyora,Yamaha BOOSTER
137698,Yamaha CrossCore RC Sähköpyörä,"2613,23 €",https://www.loukko.com/assets/ProductCatalog/148/SilverShop_Page_Product-147709/e23106d8e3d857a35445fe5a60bbf5c6__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-crosscore-rc-sahkopyora,CrossCore RC
137699,Yamaha CrossCore RC Sähköpyörä Koko S,"2195,00 €",https://www.loukko.com/assets/ProductCatalog/148/SilverShop_Page_Product-147709/53ff54b068a9b1547045b7f9488bf88f__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-crosscore-rc-sahkopyora-2,CrossCore RC
137700,Yamaha MORO 07 30-vuotisjuhla malli,"5123,23 €",https://www.loukko.com/assets/ProductCatalog/277/SilverShop_Page_Product-276543/2023-Yamaha-YDX-MORO-EU-Factory_Silver-Studio-001-03-1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-moro-07-30-vuotisjuhla,MORO0730-vuotisjuhla
137701,Yamaha Moro 07 Sähköpyörä,"4914,74 €",https://www.loukko.com/assets/ProductCatalog/148/SilverShop_Page_Product-147710/7a4261ca876953216fdae04bbc6fb15e__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-moro-07-sahkopyora,Moro 07
137702,Yamaha Wabash RT Sähköpyörä,"3659,74 €",https://www.loukko.com/assets/ProductCatalog/148/SilverShop_Page_Product-147711/2f4d40ccc5033d91b17b16baa3b0a209__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,20886,https://www.loukko.com/sahkopyorat/yamaha-wabash-rt-sahkopyora,Wabash RT
137703,GasGas ECA 1 Sähköpyörä,"4390,00 €",https://www.loukko.com/assets/ProductCatalog/281/SilverShop_Page_Product-280491/PHO_BIKE_PERS_REVO_GAS-24-ECA-1-jet-black_SALL_AEPI_V2__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,20889,https://www.loukko.com/sahkopyorat/gas-gas-eca-1-29x46cm,31023416
