id,name,price,image_src,category_id,link,code
99328,Kärcher HDS 5/15 U kuumavesipesuri,"2732,66 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124255/67ae29def011283834271f6577f9a388__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-515-u-kuumavesipesuri,1.064-912.0
99329,Kärcher HDS 7/16 C Kuumavesipesuri,"3947,18 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124258/e904ba4500ba25354d789ed69fc19b12__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-716-c-kuumavesipesuri,1.173-900.0
99330,Kärcher HDS 8/18-4 CXA,"3900,00 €",https://www.loukko.com/assets/ProductCatalog/294/SilverShop_Page_Product-293915/afgag__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18829,https://www.loukko.com/autotalli/karcher-hds-818-4-cxa,1.174-928.0
99331,Kärcher HDS 9/20-4 M Kuumavesipesuri,"6087,76 €",https://www.loukko.com/assets/ProductCatalog/284/SilverShop_Page_Product-283769/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-920-4-m-kuumavesipesuri,1.071-941.0
99332,Kärcher HDS 9/20-4 MXA Kuumavesipesuri,"4990,00 €",https://www.loukko.com/assets/ProductCatalog/284/SilverShop_Page_Product-283770/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-920-4-mxa-kuumavesipesuri,1.071-940.0
99333,Kärcher HD 10/25-4 SXA Plus Kylmävesipesuri,"3272,82 €",https://www.loukko.com/assets/ProductCatalog/282/SilverShop_Page_Product-281831/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18832,https://www.loukko.com/autotalli/karcher-hd-1025-4-sxa-plus-kylmavesipesuri,1.286-955.0
99334,"Kärcher HD 5/13 EX EB painepesuri, Anniversary Edition + varustepaketti kaupan päälle!","590,00 €",https://www.loukko.com/assets/ProductCatalog/294/SilverShop_Page_Product-293903/Karcher_1_520-830_0_HD_5_13_EX_EB_painepesuri__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18832,https://www.loukko.com/autotalli/karcher-hd-513-ex-eb-painepesuri-anniversary-edition-and-varustepaketti-kaupan-paalle,1.520-830.0
99335,Kärcher Painepesuri HD 17/14-4S Plus painepesuri,"2890,00 €",https://www.loukko.com/assets/ProductCatalog/Painepesuri-HD-17-14-4S-Plus__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18832,https://www.loukko.com/autotalli/karcher-painepesuri-hd-1714-4s-plus-painepesuri,1.286-915.0
99336,HUSQVARNA PAINEPESURI PW 370,"499,00 €",https://www.loukko.com/assets/ProductCatalog/husqvarnapainepesuripw370_9707266-01_168fbcdcb0b9_6__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/husqvarna-painepesuri-pw-370,9707266-01
99337,Husqvarna PW 130 painepesuri,"145,00 €",https://www.loukko.com/assets/ProductCatalog/9706480-01_820b98fa5eb9_1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-130-painepesuri,9706480-01
99338,HUSQVARNA PW 235 PAINEPESURI,"221,65 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124209/5592521b30d0ab705b7630d5ccb6f6eb__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-235-painepesuri,9704573-01
99339,HUSQVARNA PW 235R PAINEPESURI,"272,25 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124210/b1fde754a0ad8bcb4b578c1ddf70b518__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-235r-painepesuri,9704574-01
99340,HUSQVARNA PW 345C PAINEPESURI,"349,17 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124211/5624506d69f7b609967f2c31d5ca7df9__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-345c-painepesuri,9676776-01
99341,HUSQVARNA PW 350 PAINEPESURI,"424,07 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124212/4d0e08136dbbc9bd4fa54d1e66bd2a42__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-350-painepesuri,9676777-01
99342,HUSQVARNA PW 360 PAINEPESURI,"494,92 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124213/1078360d9fea72665cb2a36fe0fac464__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-360-painepesuri,9676778-01
99343,HUSQVARNA PW 480 painepesuri,"666,97 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124216/b872dbfb14184ff2ea87690c7a4d4766__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-480-painepesuri,9704683-01
99344,Husqvarna PW 490,"758,06 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124216/b872dbfb14184ff2ea87690c7a4d4766__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18835,https://www.loukko.com/autotalli/husqvarna-pw-490,9704684-01
99345,KÄRCHER HDS 5/15 UX Kuumavesipesuri,"2630,00 €",https://www.loukko.com/assets/ProductCatalog/149/SilverShop_Page_Product-148031/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-515-ux-kuumavesipesuri,1.064-913.0
99346,Kärcher  HD 10/25-4 SXA Plus,"3570,85 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124218/480e3abf305bd523576095942ebf95b7__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hd-1025-4-sxa-plus,1.286-955.0
99347,Kärcher  HD 17/15-4 S Classic,"2590,00 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124220/pesuri1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0.webp,18835,https://www.loukko.com/autotalli/karcher-hd-1715-4-s-classic,1.367-404.0
99348,Kärcher  HDS 13/20-4 SXA Kuumavesipesuri,"8321,50 €",https://www.loukko.com/assets/ProductCatalog/280/SilverShop_Page_Product-279144/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hds-1320-4-sxa-kuumavesipesuri,1.071-936.0
99349,Kärcher HD 10/25-4 SXA Plus Kylmävesipesuri,"3272,82 €",https://www.loukko.com/assets/ProductCatalog/282/SilverShop_Page_Product-281831/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-hd-1025-4-sxa-plus-kylmavesipesuri,1.286-955.0
99350,Kärcher HD 5/12 C,"922,02 €",https://www.loukko.com/assets/ProductCatalog/149/SilverShop_Page_Product-148030/a8ff5fbbbbb264bdbf16e6599e5c07f4__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18835,https://www.loukko.com/autotalli/karcher-painepesuri-hd-512-c,1.520-900.0
99351,Kärcher HD 5/12 CX Plus,"1148,73 €",https://www.loukko.com/assets/ProductCatalog/275/SilverShop_Page_Product-274843/snip-1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18835,https://www.loukko.com/autotalli/karcher-hd-512-cx-plus,1.520-902.0
